"","DOG BREED","POPULARITY IN US","LIFETIME COST","LONGEVITY","INTELLIGENCE","# OF GENETIC AILMENTS"
"24","German Shorthaired Pointer",15,25842,11.46,17,1
"25","Pointer",115,24445,12.42,43,1
"33","Irish Setter",70,20323,11.63,35,2
"39","Chesapeake Bay Retriever",46,16697,9.48,27,1
"41","Gordon Setter",94,19605,11.1,34,1
"42","English Setter",87,20312,11.57,37,2
"44","Briard",125,19673,11.17,30,1
"48","Doberman Pinscher",13,18397,10.33,5,4
"50","Belgian Tervuren",108,19132,10.6,14,2
"57","Bouvier des Flandres",83,18959,10.34,29,1
"62","Giant Schnauzer",95,26686,10,28,1
"63","Greyhound",140,15819,9.36,46,1
"65","Rottweiler",10,18886,9.11,9,3
"67","Afghan Hound",88,24077,11.92,80,0
"68","Newfoundland",43,19351,9.32,34,2
"69","German Shepherd",2,17416,9.73,3,8
"72","Akita",47,20994,10.16,54,1
"73","Rhodesian Ridgeback",44,16530,9.1,52,2
"75","Borzoi",102,16176,9.08,76,0
"76","Bernese Mountain Dog",34,16099,7.56,22,4
"79","Alaskan Malamute",58,21986,10.67,50,2
"81","Bloodhound",48,13824,6.75,75,2
"82","Irish Wolfhound",79,18435,6.94,41,3
"83","Bullmastiff",40,13936,7.57,69,2
"84","Mastiff",28,13581,6.5,72,2
"85","Great Dane",19,14662,6.96,48,4
"86","Saint Bernard",49,20022,7.78,65,3
