"","DOG BREED","POPULARITY IN US","LIFETIME COST","LONGEVITY","INTELLIGENCE","# OF GENETIC AILMENTS"
"1","Border Collie",45,20143,12.52,1,2
"3","Brittany",30,22589,12.92,19,0
"5","Welsh Springer Spaniel",130,20224,12.49,31,1
"6","English Cocker Spaniel",63,18993,11.66,18,0
"9","Australian Cattle Dog",60,20395,11.67,10,1
"11","Siberian Husky",16,22049,12.58,45,0
"18","Whippet",57,20976,12.87,51,0
"19","English Springer Spaniel",29,21946,12.54,13,4
"22","Poodle",8,21237,11.95,2,2
"27","Labrador Retriever",1,21299,12.04,7,3
"31","Australian Shepherd",24,21458,12.28,42,2
"34","Pharaoh Hound",151,21047,11.83,37,0
"36","Golden Retriever",4,21447,12.04,4,4
"37","Samoyed",69,25352,12.44,33,1
"43","Pug",26,18527,11,57,1
"46","Flat-Coated Retriever",90,16000,9.02,18,0
"47","Boston Terrier",22,17741,10.92,54,1
"52","Dalmatian",73,19886,11.27,39,2
"54","Basenji",93,22096,13.58,79,3
"56","Staffordshire Bull Terrier",76,21650,12.05,49,1
"59","Clumber Spaniel",133,18084,10,37,0
"61","Saluki",117,24866,12,43,0
"66","Kerry Blue Terrier",124,17240,9.4,35,1
"71","Old English Sheepdog",84,22611,11.19,63,1
"74","French Bulldog",18,17266,9,58,0
"77","Bull Terrier",51,18490,10.21,66,2
"78","Boxer",7,15746,8.81,48,4
"80","Chow Chow",68,15898,9.01,77,2
"87","Bulldog",6,13479,6.29,78,5
