"","DOG BREED","POPULARITY IN US","LIFETIME COST","LONGEVITY","INTELLIGENCE","# OF GENETIC AILMENTS","SIZE CATEGORY"
"1","Border Collie","45",20143,"12.52","1","2","medium"
"2","Border Terrier","80",22638,"14.00","30","0","small"
"3","Brittany","30",22589,"12.92","19","0","medium"
"4","Cairn Terrier","59",21992,"13.84","35","2","small"
"5","Welsh Springer Spaniel","130",20224,"12.49","31","1","medium"
"6","English Cocker Spaniel","63",18993,"11.66","18","0","medium"
"7","Cocker Spaniel","27",24330,"12.50","20","2","small"
"8","Papillon","38",21001,"13.00","8","5","small"
"9","Australian Cattle Dog","60",20395,"11.67","10","1","medium"
"10","Shetland Sheepdog","20",21006,"12.53","6","5","small"
"11","Siberian Husky","16",22049,"12.58","45","0","medium"
"12","Lhasa Apso","62",22031,"13.92","68","1","small"
"13","Affenpinscher","139",18333,"11.42","37","0","small"
"14","Dachshund","9",20113,"12.63","49","2","small"
"15","Miniature Schnauzer","12",20087,"11.81","12","2","small"
"16","Chihuahua","14",26250,"16.50","67","1","small"
"17","Australian Terrier","121",17892,"11.05","34","0","small"
"18","Whippet","57",20976,"12.87","51","0","medium"
"19","English Springer Spaniel","29",21946,"12.54","13","4","medium"
"20","West Highland White Terrier","35",20490,"12.80","47","3","small"
"21","Bedlington Terrier","134",22107,"13.51","40","2","small"
"22","Poodle","8",21237,"11.95","2","2","medium"
"23","Bichon Frise","39",19735,"12.21","45","0","small"
"24","German Shorthaired Pointer","15",25842,"11.46","17","1","large"
"25","Pointer","115",24445,"12.42","43","1","large"
"26","Tibetan Spaniel","114",25549,"14.42","46","0","small"
"27","Labrador Retriever","1",21299,"12.04","7","3","medium"
"28","Maltese","23",19084,"12.25","59","1","small"
"29","Pomeranian","17",15792,"9.67","23","1","small"
"30","Shih Tzu","11",21152,"13.20","70","1","small"
"31","Australian Shepherd","24",21458,"12.28","42","2","medium"
"32","Yorkshire Terrier","5",20701,"12.60","27","4","small"
"33","Irish Setter","70",20323,"11.63","35","2","large"
"34","Pharaoh Hound","151",21047,"11.83","37","0","medium"
"35","Brussels Griffon","77",19551,"12.00","59","0","small"
"36","Golden Retriever","4",21447,"12.04","4","4","medium"
"37","Samoyed","69",25352,"12.44","33","1","medium"
"38","Beagle","3",19468,"12.30","73","1","small"
"39","Chesapeake Bay Retriever","46",16697,"9.48","27","1","large"
"40","Tibetan Terrier","86",20336,"12.31","62","0","small"
"41","Gordon Setter","94",19605,"11.10","34","1","large"
"42","English Setter","87",20312,"11.57","37","2","large"
"43","Pug","26",18527,"11.00","57","1","medium"
"44","Briard","125",19673,"11.17","30","1","large"
"45","Norfolk Terrier","120",24308,"13.07","56","0","small"
"46","Flat-Coated Retriever","90",16000,"9.02","18","0","medium"
"47","Boston Terrier","22",17741,"10.92","54","1","medium"
"48","Doberman Pinscher","13",18397,"10.33","5","4","large"
"49","English Toy Spaniel","129",17521,"10.10","45","0","small"
"50","Belgian Tervuren","108",19132,"10.60","14","2","large"
"51","Cavalier King Charles Spaniel","21",18639,"11.29","44","2","small"
"52","Dalmatian","73",19886,"11.27","39","2","medium"
"53","Basset Hound","41",18328,"11.43","71","2","small"
"54","Basenji","93",22096,"13.58","79","3","medium"
"55","Italian Greyhound","65",16463,"10.02","60","0","small"
"56","Staffordshire Bull Terrier","76",21650,"12.05","49","1","medium"
"57","Bouvier des Flandres","83",18959,"10.34","29","1","large"
"58","Pembroke Welsh Corgi","25",23978,"12.25","11","9","small"
"59","Clumber Spaniel","133",18084,"10.00","37","0","medium"
"60","Dandie Dinmont Terrier","160",21633,"12.17","62","0","small"
"61","Saluki","117",24866,"12.00","43","0","medium"
"62","Giant Schnauzer","95",26686,"10.00","28","1","large"
"63","Greyhound","140",15819,"9.36","46","1","large"
"64","Scottish Terrier","54",17525,"10.69","65","1","small"
"65","Rottweiler","10",18886,"9.11","9","3","large"
"66","Kerry Blue Terrier","124",17240,"9.40","35","1","medium"
"67","Afghan Hound","88",24077,"11.92","80","0","large"
"68","Newfoundland","43",19351,"9.32","34","2","large"
"69","German Shepherd","2",17416,"9.73","3","8","large"
"70","Pekingese","64",20565,"11.56","74","1","small"
"71","Old English Sheepdog","84",22611,"11.19","63","1","medium"
"72","Akita","47",20994,"10.16","54","1","large"
"73","Rhodesian Ridgeback","44",16530,"9.10","52","2","large"
"74","French Bulldog","18",17266,"9.00","58","0","medium"
"75","Borzoi","102",16176,"9.08","76","0","large"
"76","Bernese Mountain Dog","34",16099,"7.56","22","4","large"
"77","Bull Terrier","51",18490,"10.21","66","2","medium"
"78","Boxer","7",15746,"8.81","48","4","medium"
"79","Alaskan Malamute","58",21986,"10.67","50","2","large"
"80","Chow Chow","68",15898,"9.01","77","2","medium"
"81","Bloodhound","48",13824,"6.75","75","2","large"
"82","Irish Wolfhound","79",18435,"6.94","41","3","large"
"83","Bullmastiff","40",13936,"7.57","69","2","large"
"84","Mastiff","28",13581,"6.50","72","2","large"
"85","Great Dane","19",14662,"6.96","48","4","large"
"86","Saint Bernard","49",20022,"7.78","65","3","large"
"87","Bulldog","6",13479,"6.29","78","5","medium"
