"","DOG BREED","POPULARITY IN US","LIFETIME COST","LONGEVITY","INTELLIGENCE","# OF GENETIC AILMENTS"
"2","Border Terrier",80,22638,14,30,0
"4","Cairn Terrier",59,21992,13.84,35,2
"7","Cocker Spaniel",27,24330,12.5,20,2
"8","Papillon",38,21001,13,8,5
"10","Shetland Sheepdog",20,21006,12.53,6,5
"12","Lhasa Apso",62,22031,13.92,68,1
"13","Affenpinscher",139,18333,11.42,37,0
"14","Dachshund",9,20113,12.63,49,2
"15","Miniature Schnauzer",12,20087,11.81,12,2
"16","Chihuahua",14,26250,16.5,67,1
"17","Australian Terrier",121,17892,11.05,34,0
"20","West Highland White Terrier",35,20490,12.8,47,3
"21","Bedlington Terrier",134,22107,13.51,40,2
"23","Bichon Frise",39,19735,12.21,45,0
"26","Tibetan Spaniel",114,25549,14.42,46,0
"28","Maltese",23,19084,12.25,59,1
"29","Pomeranian",17,15792,9.67,23,1
"30","Shih Tzu",11,21152,13.2,70,1
"32","Yorkshire Terrier",5,20701,12.6,27,4
"35","Brussels Griffon",77,19551,12,59,0
"38","Beagle",3,19468,12.3,73,1
"40","Tibetan Terrier",86,20336,12.31,62,0
"45","Norfolk Terrier",120,24308,13.07,56,0
"49","English Toy Spaniel",129,17521,10.1,45,0
"51","Cavalier King Charles Spaniel",21,18639,11.29,44,2
"53","Basset Hound",41,18328,11.43,71,2
"55","Italian Greyhound",65,16463,10.02,60,0
"58","Pembroke Welsh Corgi",25,23978,12.25,11,9
"60","Dandie Dinmont Terrier",160,21633,12.17,62,0
"64","Scottish Terrier",54,17525,10.69,65,1
"70","Pekingese",64,20565,11.56,74,1
